refYear,period,reporterISO,reporterDesc,partnerISO,partnerDesc,cmdCode,cmdDesc,netWgt,isNetWgtEstimated,fobvalue,primaryValue,isReported,isAggregate
2020,2020,CHN,China,W00,World,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",122808133.2,TRUE,734019340,734019340,FALSE,TRUE
2020,2020,CHN,China,AFG,Afghanistan,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",555276,FALSE,1817139,1817139,TRUE,FALSE
2020,2020,CHN,China,DZA,Algeria,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",10680476,FALSE,35870924,35870924,TRUE,FALSE
2020,2020,CHN,China,AGO,Angola,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",32210,FALSE,142956,142956,TRUE,FALSE
2020,2020,CHN,China,ARG,Argentina,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",46866,FALSE,1134884,1134884,TRUE,FALSE
2020,2020,CHN,China,AUS,Australia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",78666,FALSE,1216453,1216453,TRUE,FALSE
2020,2020,CHN,China,BGD,Bangladesh,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",115,FALSE,3220,3220,TRUE,FALSE
2020,2020,CHN,China,BEL,Belgium,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",2100715,FALSE,9555216,9555216,TRUE,FALSE
2020,2020,CHN,China,BRA,Brazil,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",6625.167,TRUE,120939,120939,TRUE,FALSE
2020,2020,CHN,China,MMR,Myanmar,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",688073,FALSE,30934877,30934877,TRUE,FALSE
2020,2020,CHN,China,KHM,Cambodia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",45359,FALSE,2026490,2026490,TRUE,FALSE
2020,2020,CHN,China,CMR,Cameroon,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",245970,FALSE,482916,482916,TRUE,FALSE
2020,2020,CHN,China,CAN,Canada,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",351588,FALSE,6364880,6364880,TRUE,FALSE
2020,2020,CHN,China,TCD,Chad,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",66259,FALSE,316967,316967,TRUE,FALSE
2020,2020,CHN,China,CHL,Chile,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",69745,FALSE,623771,623771,TRUE,FALSE
2020,2020,CHN,China,COL,Colombia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",830,FALSE,8948,8948,TRUE,FALSE
2020,2020,CHN,China,COG,Congo,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",98040,FALSE,465501,465501,TRUE,FALSE
2020,2020,CHN,China,CRI,Costa Rica,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",5598,FALSE,46759,46759,TRUE,FALSE
2020,2020,CHN,China,CZE,Czechia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",2215,FALSE,142606,142606,TRUE,FALSE
2020,2020,CHN,China,BEN,Benin,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",2071256,FALSE,7580345,7580345,TRUE,FALSE
2020,2020,CHN,China,DNK,Denmark,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",91,FALSE,1769,1769,TRUE,FALSE
2020,2020,CHN,China,SLV,El Salvador,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",70,FALSE,490,490,TRUE,FALSE
2020,2020,CHN,China,GNQ,Equatorial Guinea,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",23000,FALSE,105690,105690,TRUE,FALSE
2020,2020,CHN,China,ETH,Ethiopia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",15,FALSE,533,533,TRUE,FALSE
2020,2020,CHN,China,FIN,Finland,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",1839,FALSE,13824,13824,TRUE,FALSE
2020,2020,CHN,China,FRA,France,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",2777318,FALSE,13048264,13048264,TRUE,FALSE
2020,2020,CHN,China,GAB,Gabon,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",183330,FALSE,852160,852160,TRUE,FALSE
2020,2020,CHN,China,GEO,Georgia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",2430,FALSE,97200,97200,TRUE,FALSE
2020,2020,CHN,China,GMB,Gambia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",5526520,FALSE,21902913,21902913,TRUE,FALSE
2020,2020,CHN,China,DEU,Germany,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",36001,FALSE,333353,333353,TRUE,FALSE
2020,2020,CHN,China,GHA,Ghana,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",18707410,FALSE,79732487,79732487,TRUE,FALSE
2020,2020,CHN,China,GRC,Greece,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",1200,FALSE,6260,6260,TRUE,FALSE
2020,2020,CHN,China,GTM,Guatemala,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",35,FALSE,550,550,TRUE,FALSE
2020,2020,CHN,China,GIN,Guinea,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",3251330,FALSE,11791542,11791542,TRUE,FALSE
2020,2020,CHN,China,HKG,"China, Hong Kong SAR",90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",2250577,FALSE,87116098,87116098,TRUE,FALSE
2020,2020,CHN,China,HUN,Hungary,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",16632,FALSE,128435,128435,TRUE,FALSE
2020,2020,CHN,China,IDN,Indonesia,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",62138,FALSE,1983081,1983081,TRUE,FALSE
2020,2020,CHN,China,IRN,Iran,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",191094,FALSE,577860,577860,TRUE,FALSE
2020,2020,CHN,China,IRQ,Iraq,90210,"Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg",255,FALSE,9305,9305,TRUE,FALSE
