countryISO,country,pop2020,pop2021,pop2022,pop2023,pop2024
USA,United States,331449281,332915073,333287557,334914895,336997624
CAN,Canada,38037204,38155012,38929902,39566248,40097761
AUS,Australia,25687041,25788217,26005540,26439111,26713205
GBR,United Kingdom,67059474,67281039,67508936,67736802,67961439
DEU,Germany,83160871,83196078,83408554,83294633,84220184
FRA,France,67571107,67749632,67935660,68170228,68401088
ITA,Italy,60297396,59240329,58940425,58761146,58989749
ESP,Spain,47363807,47415750,47558630,47778340,48059777
NLD,Netherlands,17441500,17502126,17564014,17618299,17879488
BEL,Belgium,11522440,11539878,11584008,11686140,11832049
SGP,Singapore,5685807,5453600,5637022,5917648,6046464
HKG,Hong Kong,7481800,7413100,7346100,7536100,7536000
TWN,Taiwan,23568378,23592254,23888595,23923276,23761666
THA,Thailand,71601103,71697030,71800758,71801279,71801000
MYS,Malaysia,32776195,33199993,33573874,34308525,34564810
IDN,Indonesia,270203917,272682500,275773800,278696200,281603800
PHL,Philippines,109035343,110818325,112508994,114597229,116434200
VNM,Vietnam,97583360,98168829,98721275,99240000,99461715
IND,India,1380004385,1393409038,1406631776,1420128400,1441719852
RUS,Russia,144104080,146424729,146447424,146150789,144444359
BRA,Brazil,212559409,214326223,215313498,216422446,217637297
MEX,Mexico,128932753,130262216,127504125,128455567,129388467
ARG,Argentina,45376763,45510318,45808747,46234830,46654581
CHL,Chile,19116209,19300315,19493184,19629590,19764771
NZL,New Zealand,5090200,5122600,5145300,5228100,5318100
ZAF,South Africa,59308690,60142978,60414495,60414495,62027503
SAU,Saudi Arabia,34813867,35844909,36408818,36947025,36680649
ARE,United Arab Emirates,9890400,9365040,9441129,9516871,9516871
TUR,Turkey,83614362,84680273,85279553,85816199,85816199
POL,Poland,37958138,37840001,37781024,37825001,37617854
SWE,Sweden,10353442,10452326,10549347,10612086,10606999
NOR,Norway,5379475,5403021,5457127,5519594,5576438
DNK,Denmark,5822763,5854240,5882261,5910913,5954422
FIN,Finland,5527573,5540745,5556106,5563970,5584264
AUT,Austria,8917205,8955102,9027999,9120813,9197590
CHE,Switzerland,8638167,8703405,8775760,8849852,8921981
IRL,Ireland,4994724,5033164,5123536,5343805,5343805
PRT,Portugal,10297081,10344802,10467366,10639726,10639726
GRC,Greece,10700556,10664568,10445365,10361295,10341277
CZE,Czech Republic,10697858,10510751,10524167,10900555,10900555
HUN,Hungary,9749763,9709786,9689010,9589872,9589872
ROU,Romania,19286123,19122059,19047009,19015617,19015617
AFG,Afghanistan,38042754,38972230,40099462,41128771,42239854
DZA,Algeria,43053054,43851044,44616624,45350148,46814308
AGO,Angola,31825295,32866268,33933610,35027343,36684202
BGD,Bangladesh,164689383,166303498,167885689,169356251,171186372
BHS,Bahamas,393248,397360,400516,407906,412623
BHR,Bahrain,1641172,1463265,1472233,1485509,1607049
BLR,Belarus,9398861,9302585,9228071,9155546,9056696
BEN,Benin,11801151,12123198,12451040,12784726,13352864
BOL,Bolivia,11513100,11673021,11832940,11992656,12388571
BRA,Brazil,212559409,214326223,215313498,216422446,217637297
BRN,Brunei,433285,441532,449002,453600,455858
BGR,Bulgaria,6934015,6838937,6780119,6687717,6430170
BFA,Burkina Faso,20321378,20903273,21497096,22100683,23251485
KHM,Cambodia,16486542,16767842,17050363,17329690,17627862
CMR,Cameroon,26545863,27224265,27914536,28647293,29321637
CAF,Central African Republic,4829767,4919981,5016678,5110000,5552228
TCD,Chad,16425864,16914985,17414108,17963211,18523165
CHN,China,1424929781,1425893465,1425887337,1425178782,1419321278
COL,Colombia,50882884,51265841,51512762,51874024,52085168
COG,Congo,5518092,5657013,5797805,5940396,6106869
COD,Dem. Rep. of the Congo,89561404,92377986,95894118,99010212,102262808
CRI,Costa Rica,5094114,5139052,5180829,5212173,5256612
CIV,Côte d'Ivoire,26378275,27053629,27742298,28440542,29389150
HRV,Croatia,4067500,4060135,4047680,4008617,3862000
CYP,Cyprus,1207361,1215584,1251488,1260138,1260000
DOM,Dominican Republic,10847904,10953714,11056370,11228821,11427557
ECU,Ecuador,17373662,17588595,17797737,17938986,18190484
EGY,Egypt,102334403,104258327,106156692,107770524,109262178
SLV,El Salvador,6486201,6314167,6336392,6364943,6364943
GNQ,Equatorial Guinea,1402985,1449896,1496662,1544067,1595000
EST,Estonia,1328704,1330932,1348840,1365884,1373101
ETH,Ethiopia,114963583,117876227,120812698,123379924,126527060
FJI,Fiji,889953,890873,892149,893468,901453
GAB,Gabon,2225728,2278825,2331533,2388992,2436566
GMB,Gambia,2416664,2486945,2558482,2639916,2705992
GEO,Georgia,3714000,3708610,3688647,3688385,3728573
GHA,Ghana,31072945,31732129,32833031,33846715,34121985
GIN,Guinea,13132792,13531906,13942500,14363859,14190612
GNB,Guinea-Bissau,1967998,2015494,2063367,2112253,2150842
GUY,Guyana,786559,793554,800508,808726,813834
GTM,Guatemala,17915568,18249860,18584039,18906720,19082040
GUM,Guam,168485,170184,171774,171774,171774
HND,Honduras,9904608,10062991,10221247,10432860,10593798
IRN,Iran,83183741,84238707,85279529,86022837,87590873
IRQ,Iraq,40222503,40462701,41179350,42556984,44496122
ISL,Iceland,366463,368792,375318,382003,387758
ISR,Israel,9053300,9364000,9557500,9756700,9174520
JPN,Japan,125681593,125502000,125124989,124516650,123294513
JOR,Jordan,10203140,10269022,10698394,11148278,11285869
KAZ,Kazakhstan,18754440,18994962,19196465,19621972,19621972
KEN,Kenya,53771300,54985698,56215221,57052004,55100586
KOR,South Korea,51709098,51738000,51628117,51672569,51717590
KWT,Kuwait,4270563,4250114,4268873,4310108,4268873
KGZ,Kyrgyzstan,6591600,6694200,6735347,6803700,6974900
LAO,Laos,7275556,7319399,7362000,7425057,7633779
LBN,Lebanon,6825442,5489739,5489739,5353930,5353930
LBR,Liberia,5057677,5193416,5302681,5418377,5612822
LBY,Libya,6871287,6958538,7017224,7381023,6888388
LTU,Lithuania,2794700,2795680,2800839,2862380,2862380
LVA,Latvia,1900449,1893223,1879383,1871871,1871871
MAC,Macao,683218,682500,695168,695168,695168
MDV,Maldives,530957,540542,557426,523787,521021
MLI,Mali,20250834,20855735,21473764,22593590,23293698
MLT,Malta,514564,525666,531113,533286,538479
MRT,Mauritania,4649660,4736139,4826764,4862989,4862989
MUS,Mauritius,1265740,1263820,1262605,1261041,1260934
MDA,Moldova,2597100,2597000,2512758,2512758,2512758
MNG,Mongolia,3278292,3347782,3398366,3447157,3447157
MNE,Montenegro,621306,619211,616695,616695,616695
MAR,Morocco,36910558,37076584,37344795,37840044,37457971
MOZ,Mozambique,31255435,32077072,32969518,32969518,33897354
MMR,Myanmar,54409794,54577997,54806014,54237800,54806014
NAM,Namibia,2540916,2567012,2604172,2604172,2604172
NPL,Nepal,29136808,29348627,30034989,30547580,30896590
NER,Niger,24206636,25252722,26207977,27202843,27032412
NGA,Nigeria,206139587,211400708,216746934,223804632,232679478
OMN,Oman,4520471,4576298,4644384,4644384,4644384
PAK,Pakistan,220892331,225199929,231402117,235824862,240485658
PAN,Panama,4314768,4351267,4408581,4468087,4468087
PNG,Papua New Guinea,8947027,9119010,9292169,9292169,9292169
PRY,Paraguay,7132530,7219641,7305843,7353038,7353038
PER,Peru,33035304,33715471,34049588,34352719,34352719
PRK,North Korea,25778815,25867467,25950034,25971909,25971909
PYF,French Polynesia,280904,281807,279890,279890,279890
QAT,Qatar,2881060,2695122,2688235,2688235,2688235
SEN,Senegal,16743930,17316449,17923036,18384660,18384660
SRB,Serbia,6834326,6834326,6664449,6664449,6664449
SLE,Sierra Leone,7976985,8233970,8494260,8791092,8791092
SVK,Slovakia,5458827,5449270,5431752,5431752,5431752
SVN,Slovenia,2108977,2119410,2111986,2119675,2123949
LKA,Sri Lanka,21919000,21832143,22156000,22181000,22037000
SDN,Sudan,43849269,44440486,45047502,46874204,48109006
SUR,Suriname,586634,591800,616500,623236,623236
SYR,Syria,17500657,18275702,22125249,23227014,23227014
TJK,Tajikistan,9537642,9750064,9952787,10143543,10143543
TGO,Togo,8278737,8478250,8680837,8848699,8848699
TTO,Trinidad and Tobago,1399491,1403374,1525663,1534935,1534935
TUN,Tunisia,11818618,11935766,12046656,12458223,12458223
TKM,Turkmenistan,6031187,6117933,6201943,6430770,6430770
UGA,Uganda,45741000,47249585,48582334,49252593,49252593
UKR,Ukraine,43733759,43792953,38000000,38000000,38000000
URY,Uruguay,3473727,3485151,3422200,3422200,3422200
UZB,Uzbekistan,34232050,34915100,35163944,35648100,35648100
VEN,Venezuela,28435943,28301696,28838499,28838499,28838499
YEM,Yemen,29825968,30490639,32981641,34449825,34449825
ZMB,Zambia,18383956,18927715,19473125,20017675,20569737
ZWE,Zimbabwe,14862927,15178979,15993524,16320537,16320537
S19,Other Asia (not specified),0,0,0,0,0
BTN,Bhutan,771612,777486,782455,787424,787424
BIH,Bosnia and Herzegovina,3280815,3233526,3210847,3210847,3210847
BWA,Botswana,2351625,2397241,2441162,2508596,2508596
CUW,Curaçao,164100,190338,191163,191163,191163
ALB,Albania,2837743,2829741,2842321,2842321,2842321
AZE,Azerbaijan,10139175,10223342,10358074,10358074,10358074
BMU,Bermuda,63903,63968,64069,64069,64069
HTI,Haiti,11402533,11541683,11680283,11680283,11680283
LUX,Luxembourg,626108,640064,653103,660809,660809
MNP,Northern Mariana Islands,57557,57910,58269,58269,58269
_X,Areas (not elsewhere specified),0,0,0,0,0
